what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1325368510380
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1325368510380
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1325368510380
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1325368510381
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1325368510381
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1325368510382
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1325368510383
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1325368510383
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1325368510383
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1325368510383
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1325368510383
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1325368510384
os,sysinfo,,,"win32",1325368510386
arch,sysinfo,,,"x86",1325368510386
ws,sysinfo,,,"win32",1325368510386
locale,sysinfo,,,"es_ES",1325368510386
processors,sysinfo,,,"4",1325368510386
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325368510386
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1325368510386
java.specification.name,sysinfo,,,"Java Platform API Specification",1325368510386
java.specification.vendor,sysinfo,,,"Oracle Corporation",1325368510386
java.specification.version,sysinfo,,,"1.7",1325368510386
java.vendor,sysinfo,,,"Oracle Corporation",1325368510386
java.version,sysinfo,,,"1.7.0_02",1325368510386
java.vm.info,sysinfo,,,"mixed mode",1325368510386
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1325368510386
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325368510386
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1325368510386
java.vm.specification.version,sysinfo,,,"1.7",1325368510386
java.vm.vendor,sysinfo,,,"Oracle Corporation",1325368510386
java.vm.version,sysinfo,,,"22.0-b10",1325368510386
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1325368514275
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1325368514279
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1325368514295
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1325368521066
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1325368522480
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1325368526213
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1325368526446
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1325368526473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325368526486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325368528154
